PeakID (cmd=annotatePeaks.pl runx1_less_accessible.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
122	chr5	150468517	150468821	+	0	NA	intron (NM_172887, intron 53 of 60)	intron (NM_172887, intron 53 of 60)	33550	NR_024513	194292	Mm.300184	NR_024513		Gm5	Gm1812	predicted gene 5	ncRNA
329	chr19	44914729	44914920	+	0	NA	Intergenic	Intergenic	-16295	NM_172638	226151	Mm.212609	NM_172638	ENSMUSG00000036097	Slf2	3632432H19|Fam178a	SMC5-SMC6 complex localization factor 2	protein-coding
155	chr7	96228964	96229180	+	0	NA	intron (NM_001310760, intron 1 of 32)	intron (NM_001310760, intron 1 of 32)	17401	NM_001310760	23966	Mm.254610	NM_011858	ENSMUSG00000048078	Tenm4	Doc4|ELM2|Odz4|R75022|Ten-m4|l(7)-3Rn|l7Rn3|mKIAA1302	teneurin transmembrane protein 4	protein-coding
292	chr17	7964327	7964630	+	0	NA	intron (NM_025789, intron 2 of 7)	RLTR6-int|LTR|ERV1	18864	NM_025789	66832	Mm.29830	NM_025789	ENSMUSG00000073471	Rsph3a	1700012G05Rik|4930524H12Rik|R74860|Rshl2|Rshl2a	radial spoke 3A homolog (Chlamydomonas)	protein-coding
330	chr19	47537958	47538161	+	0	NA	promoter-TSS (NM_175360)	promoter-TSS (NM_175360)	-940	NM_175360	108689	Mm.218048	NM_175360	ENSMUSG00000042694	Stn1	0610009H20Rik|2310057J23Rik|AAF-44|AAF44|AI413458|Obfc1|RPA-32	STN1, CST complex subunit	protein-coding
308	chr17	85664285	85664526	+	0	NA	Intergenic	Intergenic	23849	NM_011380	20472	Mm.5039	NM_011380	ENSMUSG00000024134	Six2	-	sine oculis-related homeobox 2	protein-coding
6	chr1	54129228	54129431	+	0	NA	intron (NM_001001883, intron 1 of 28)	intron (NM_001001883, intron 1 of 28)	65705	NM_172655	329152	Mm.132150	NM_172655	ENSMUSG00000042807	Hecw2	A730039N16Rik|D030049F17Rik|Gm971|Nedl2|mKIAA1301	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	protein-coding
223	chr12	54879305	54879503	+	0	NA	Intergenic	Intergenic	-16527	NM_007688	12632	Mm.276826	NM_007688	ENSMUSG00000062929	Cfl2	-	cofilin 2, muscle	protein-coding
77	chr4	5797844	5798826	+	0	NA	5' UTR (NM_001355716, exon 3 of 3)	5' UTR (NM_001355716, exon 3 of 3)	74023	NM_001355716	242297	Mm.331470	NM_173426	ENSMUSG00000049119	Fam110b	1700012H17Rik|5031405P22|AW049855	family with sequence similarity 110, member B	protein-coding
270	chr15	25553580	25553913	+	0	NA	Intergenic	Intergenic	-68804	NM_019472	17909	Mm.60590	NM_019472	ENSMUSG00000022272	Myo10	AW048724|D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding
140	chr6	108752432	108752861	+	0	NA	Intergenic	Intergenic	-30413	NM_026011	67166	Mm.271178	NM_026011	ENSMUSG00000030105	Arl8b	2610313E07Rik|3100002J04Rik|Arl10c|gie1	ADP-ribosylation factor-like 8B	protein-coding
304	chr17	68106256	68106700	+	0	NA	Intergenic	MTEb|LTR|ERVL-MaLR	-102370	NM_172964	268970	Mm.9935	NM_172964	ENSMUSG00000024043	Arhgap28	AU044757|AW550892|E130310N06	Rho GTPase activating protein 28	protein-coding
312	chr18	3139569	3139790	+	0	NA	Intergenic	Intergenic	-16267	NM_001167539	100312476	Mm.480293	NM_001167539	ENSMUSG00000091539	Vmn1r238	-	vomeronasal 1 receptor, 238	protein-coding
258	chr13	94266673	94266987	+	0	NA	intron (NM_001346609, intron 1 of 8)	intron (NM_001346609, intron 1 of 8)	18451	NM_029153	107767	Mm.201455	NM_029153	ENSMUSG00000021687	Scamp1	4930505M11Rik|AI415563|AW122395	secretory carrier membrane protein 1	protein-coding
23	chr1	184885926	184886342	+	0	NA	Intergenic	Intergenic	-3098	NM_178692	226777	Mm.169542	NM_178692	ENSMUSG00000039349	C130074G19Rik	-	RIKEN cDNA C130074G19 gene	protein-coding
127	chr6	37916092	37916474	+	0	NA	intron (NM_001272064, intron 4 of 18)	RLTR33|LTR|ERVK	15796	NM_001272076	21848	Mm.41063	NM_145076	ENSMUSG00000029833	Trim24	A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
255	chr13	89428297	89428995	+	0	NA	Intergenic	Intergenic	-111990	NM_013500	12950	Mm.266790	NM_013500	ENSMUSG00000021613	Hapln1	BB099155|CLP|Crtl1|Crtl1l|LP|LP-1	hyaluronan and proteoglycan link protein 1	protein-coding
105	chr5	23658031	23658266	+	0	NA	intron (NM_001359174, intron 2 of 16)	Lx8|LINE|L1	17819	NM_001359172	20817	Mm.288728	NM_009274	ENSMUSG00000062604	Srpk2	AW226533|AW492537|AW547358|Wbp6|mSRPK2	serine/arginine-rich protein specific kinase 2	protein-coding
259	chr13	97470130	97470333	+	0	NA	intron (NR_110432, intron 1 of 1)	intron (NR_110432, intron 1 of 1)	-12470	NR_110430	100039691	Mm.219358	NR_110430	ENSMUSG00000078952	Lncenc1	Gm11019|Gm2373|Lincenc1|Platr18|linc-Enc1	long non-coding RNA, embryonic stem cells expressed 1	ncRNA
